pclass,survived,sex,age,sibsp,fare,embarked
1,1,female,29.0,0,211.3375,S
1,1,male,0.92,1,151.55,S
1,0,female,2.0,1,151.55,S
1,0,male,30.0,1,151.55,S
1,0,female,25.0,1,151.55,S
1,1,male,48.0,0,26.55,S
1,1,female,63.0,1,77.9583,S
1,0,male,39.0,0,0.0,S
1,1,female,53.0,2,51.4792,S
1,0,male,71.0,0,49.5042,C
1,0,male,47.0,1,227.525,C
1,1,female,18.0,1,227.525,C
1,1,female,24.0,0,69.3,C
1,1,female,26.0,0,78.85,S
1,1,male,80.0,0,30.0,S
1,0,male,,0,25.925,S
1,0,male,24.0,0,247.5208,C
1,1,female,50.0,0,247.5208,C
1,1,female,32.0,0,76.2917,C
1,0,male,36.0,0,75.2417,C
1,1,male,37.0,1,52.5542,S
1,1,female,47.0,1,52.5542,S
1,1,male,26.0,0,30.0,C
1,1,female,42.0,0,227.525,C
1,1,female,29.0,0,221.7792,S
1,0,male,25.0,0,26.0,C
1,1,male,25.0,1,91.0792,C
1,1,female,19.0,1,91.0792,C
1,1,female,35.0,0,135.6333,S
1,1,male,28.0,0,26.55,S
1,0,male,45.0,0,35.5,S
1,1,male,40.0,0,31.0,C
1,1,female,30.0,0,164.8667,S
1,1,female,58.0,0,26.55,S
1,0,male,42.0,0,26.55,S
1,1,female,45.0,0,262.375,C
1,1,female,22.0,0,55.0,S
1,1,male,,0,26.55,S
1,0,male,41.0,0,30.5,S
1,0,male,48.0,0,50.4958,C
1,0,male,,0,39.6,C
1,1,female,44.0,0,27.7208,C
1,1,female,59.0,2,51.4792,S
1,1,female,60.0,0,76.2917,C
1,1,female,41.0,0,134.5,C
1,0,male,45.0,0,26.55,S
1,0,male,,0,31.0,S
1,1,male,42.0,0,26.2875,S
1,1,female,53.0,0,27.4458,C
1,1,male,36.0,0,512.3292,C
1,1,female,58.0,0,512.3292,C
1,0,male,33.0,0,5.0,S
1,0,male,28.0,0,47.1,S
1,0,male,17.0,0,47.1,S
1,1,male,11.0,1,120.0,S
1,1,female,14.0,1,120.0,S
1,1,male,36.0,1,120.0,S
1,1,female,36.0,1,120.0,S
1,0,male,49.0,0,26.0,S
1,1,female,,0,27.7208,C
1,0,male,36.0,1,78.85,S
1,1,female,76.0,1,78.85,S
1,0,male,46.0,1,61.175,S
1,1,female,47.0,1,61.175,S
1,1,male,27.0,1,53.1,S
1,1,female,33.0,1,53.1,S
1,1,female,36.0,0,262.375,C
1,1,female,30.0,0,86.5,S
1,1,male,45.0,0,29.7,C
1,1,female,,0,55.0,S
1,0,male,,0,0.0,S
1,0,male,27.0,1,136.7792,C
1,1,female,26.0,1,136.7792,C
1,1,female,22.0,0,151.55,S
1,0,male,,0,52.0,S
1,0,male,47.0,0,25.5875,S
1,1,female,39.0,1,83.1583,C
1,0,male,37.0,1,83.1583,C
1,1,female,64.0,0,83.1583,C
1,1,female,55.0,2,25.7,S
1,0,male,,0,26.55,S
1,0,male,70.0,1,71.0,S
1,1,female,36.0,0,71.0,S
1,1,female,64.0,1,26.55,S
1,0,male,39.0,1,71.2833,C
1,1,female,38.0,1,71.2833,C
1,1,male,51.0,0,26.55,S
1,1,male,27.0,0,30.5,S
1,1,female,33.0,0,151.55,S
1,0,male,31.0,1,52.0,S
1,1,female,27.0,1,52.0,S
1,1,male,31.0,1,57.0,S
1,1,female,17.0,1,57.0,S
1,1,male,53.0,1,81.8583,S
1,1,male,4.0,0,81.8583,S
1,1,female,54.0,1,81.8583,S
1,0,male,50.0,1,106.425,C
1,1,female,27.0,1,247.5208,C
1,1,female,48.0,1,106.425,C
1,1,female,48.0,1,39.6,C
1,1,male,49.0,1,56.9292,C
1,0,male,39.0,0,29.7,C
1,1,female,23.0,0,83.1583,C
1,1,female,38.0,0,227.525,C
1,1,female,54.0,1,78.2667,C
1,0,female,36.0,0,31.6792,C
1,0,male,,0,221.7792,S
1,1,female,,0,31.6833,S
1,1,female,,0,110.8833,C
1,1,male,36.0,0,26.3875,S
1,0,male,30.0,0,27.75,C
1,1,female,24.0,3,263.0,S
1,1,female,28.0,3,263.0,S
1,1,female,23.0,3,263.0,S
1,0,male,19.0,3,263.0,S
1,0,male,64.0,1,263.0,S
1,1,female,60.0,1,263.0,S
1,1,female,30.0,0,56.9292,C
1,0,male,,0,26.55,S
1,1,male,50.0,2,133.65,S
1,1,male,43.0,1,27.7208,C
1,1,female,,1,133.65,S
1,1,female,22.0,0,49.5,C
1,1,male,60.0,1,79.2,C
1,1,female,48.0,1,79.2,C
1,0,male,,0,0.0,S
1,0,male,37.0,1,53.1,S
1,1,female,35.0,1,53.1,S
1,0,male,47.0,0,38.5,S
1,1,female,35.0,0,211.5,C
1,1,female,22.0,0,59.4,C
1,1,female,45.0,0,59.4,C
1,0,male,24.0,0,79.2,C
1,1,male,49.0,1,89.1042,C
1,1,female,,1,89.1042,C
1,0,male,71.0,0,34.6542,C
1,1,male,53.0,0,28.5,C
1,1,female,19.0,0,30.0,S
1,0,male,38.0,0,153.4625,S
1,1,female,58.0,0,153.4625,S
1,1,male,23.0,0,63.3583,C
1,1,female,45.0,0,63.3583,C
1,0,male,46.0,0,79.2,C
1,1,male,25.0,1,55.4417,C
1,1,female,25.0,1,55.4417,C
1,1,male,48.0,1,76.7292,C
1,1,female,49.0,1,76.7292,C
1,0,male,,0,42.4,S
1,0,male,45.0,1,83.475,S
1,1,female,35.0,1,83.475,S
1,0,male,40.0,0,0.0,S
1,1,male,27.0,0,76.7292,C
1,1,male,,0,30.0,S
1,1,female,24.0,0,83.1583,C
1,0,male,55.0,1,93.5,S
1,1,female,52.0,1,93.5,S
1,0,male,42.0,0,42.5,S
1,0,male,,0,51.8625,S
1,0,male,55.0,0,50.0,S
1,1,female,16.0,0,57.9792,C
1,1,female,44.0,0,57.9792,C
1,1,female,51.0,1,77.9583,S
1,0,male,42.0,1,52.0,S
1,1,female,35.0,1,52.0,S
1,1,male,35.0,0,26.55,C
1,1,male,38.0,1,90.0,S
1,0,male,,0,30.6958,C
1,1,female,35.0,1,90.0,S
1,1,female,38.0,0,80.0,
1,0,female,50.0,0,28.7125,C
1,1,male,49.0,0,0.0,S
1,0,male,46.0,0,26.0,S
1,0,male,50.0,0,26.0,S
1,0,male,32.5,0,211.5,C
1,0,male,58.0,0,29.7,C
1,0,male,41.0,1,51.8625,S
1,1,female,,1,51.8625,S
1,1,male,42.0,1,52.5542,S
1,1,female,45.0,1,52.5542,S
1,0,male,,0,26.55,S
1,1,female,39.0,0,211.3375,S
1,1,female,49.0,0,25.9292,S
1,1,female,30.0,0,106.425,C
1,1,male,35.0,0,512.3292,C
1,0,male,,0,27.7208,C
1,0,male,42.0,0,26.55,S
1,1,female,55.0,0,27.7208,C
1,1,female,16.0,0,39.4,S
1,1,female,51.0,0,39.4,S
1,0,male,29.0,0,30.0,S
1,1,female,21.0,0,77.9583,S
1,0,male,30.0,0,45.5,S
1,1,female,58.0,0,146.5208,C
1,1,female,15.0,0,211.3375,S
1,0,male,30.0,0,26.0,S
1,1,female,16.0,0,86.5,S
1,1,male,,0,29.7,C
1,0,male,19.0,1,53.1,S
1,1,female,18.0,1,53.1,S
1,1,female,24.0,0,49.5042,C
1,0,male,46.0,0,75.2417,C
1,0,male,54.0,0,51.8625,S
1,1,male,36.0,0,26.2875,S
1,0,male,28.0,1,82.1708,C
1,1,female,,1,82.1708,C
1,0,male,65.0,0,26.55,S
1,0,male,44.0,2,90.0,Q
1,1,female,33.0,1,90.0,Q
1,1,female,37.0,1,90.0,Q
1,1,male,30.0,1,57.75,C
1,0,male,55.0,0,30.5,S
1,0,male,47.0,0,42.4,S
1,0,male,37.0,0,29.7,C
1,1,female,31.0,1,113.275,C
1,1,female,23.0,1,113.275,C
1,0,male,58.0,0,113.275,C
1,1,female,19.0,0,26.2833,S
1,0,male,64.0,0,26.0,S
1,1,female,39.0,0,108.9,C
1,1,male,,0,25.7417,C
1,1,female,22.0,0,61.9792,C
1,0,male,65.0,0,61.9792,C
1,0,male,28.5,0,27.7208,C
1,0,male,,0,0.0,S
1,0,male,45.5,0,28.5,S
1,0,male,23.0,0,93.5,S
1,0,male,29.0,1,66.6,S
1,1,female,22.0,1,66.6,S
1,0,male,18.0,1,108.9,C
1,1,female,17.0,1,108.9,C
1,1,female,30.0,0,93.5,S
1,1,male,52.0,0,30.5,S
1,0,male,47.0,0,52.0,S
1,1,female,56.0,0,83.1583,C
1,0,male,38.0,0,0.0,S
1,1,male,,0,39.6,S
1,0,male,22.0,0,135.6333,C
1,0,male,,0,227.525,C
1,1,female,43.0,0,211.3375,S
1,0,male,31.0,0,50.4958,S
1,1,male,45.0,0,26.55,S
1,0,male,,0,50.0,S
1,1,female,33.0,0,27.7208,C
1,0,male,46.0,0,79.2,C
1,0,male,36.0,0,40.125,C
1,1,female,33.0,0,86.5,S
1,0,male,55.0,1,59.4,C
1,1,female,54.0,1,59.4,C
1,0,male,33.0,0,26.55,S
1,1,male,13.0,2,262.375,C
1,1,female,18.0,2,262.375,C
1,1,female,21.0,2,262.375,C
1,0,male,61.0,1,262.375,C
1,1,female,48.0,1,262.375,C
1,1,male,,0,30.5,S
1,1,female,24.0,0,69.3,C
1,1,male,,0,26.0,S
1,1,female,35.0,1,57.75,C
1,1,female,30.0,0,31.0,C
1,1,male,34.0,0,26.55,S
1,1,female,40.0,0,153.4625,S
1,1,male,35.0,0,26.2875,S
1,0,male,50.0,1,55.9,S
1,1,female,39.0,1,55.9,S
1,1,male,56.0,0,35.5,C
1,1,male,28.0,0,35.5,S
1,0,male,56.0,0,26.55,S
1,0,male,56.0,0,30.6958,C
1,0,male,24.0,1,60.0,S
1,0,male,,0,26.0,S
1,1,female,18.0,1,60.0,S
1,1,male,24.0,1,82.2667,S
1,1,female,23.0,1,82.2667,S
1,1,male,6.0,0,134.5,C
1,1,male,45.0,1,134.5,C
1,1,female,40.0,1,134.5,C
1,0,male,57.0,1,146.5208,C
1,1,female,,1,146.5208,C
1,1,male,32.0,0,30.5,C
1,0,male,62.0,0,26.55,S
1,1,male,54.0,1,55.4417,C
1,1,female,43.0,1,55.4417,C
1,1,female,52.0,1,78.2667,C
1,0,male,,0,27.7208,C
1,1,female,62.0,0,80.0,
1,0,male,67.0,1,221.7792,S
1,0,female,63.0,1,221.7792,S
1,0,male,61.0,0,32.3208,S
1,1,female,48.0,0,25.9292,S
1,1,female,18.0,0,79.65,S
1,0,male,52.0,1,79.65,S
1,1,female,39.0,1,79.65,S
1,1,male,48.0,1,52.0,S
1,1,female,,1,52.0,S
1,0,male,49.0,1,110.8833,C
1,1,male,17.0,0,110.8833,C
1,1,female,39.0,1,110.8833,C
1,1,female,,0,79.2,C
1,1,male,31.0,0,28.5375,C
1,0,male,40.0,0,27.7208,C
1,0,male,61.0,0,33.5,S
1,0,male,47.0,0,34.0208,S
1,1,female,35.0,0,512.3292,C
1,0,male,64.0,1,75.25,C
1,1,female,60.0,1,75.25,C
1,0,male,60.0,0,26.55,S
1,0,male,54.0,0,77.2875,S
1,0,male,21.0,0,77.2875,S
1,1,female,55.0,0,135.6333,C
1,1,female,31.0,0,164.8667,S
1,0,male,57.0,1,164.8667,S
1,1,female,45.0,1,164.8667,S
1,0,male,50.0,1,211.5,C
1,0,male,27.0,0,211.5,C
1,1,female,50.0,1,211.5,C
1,1,female,21.0,0,26.55,S
1,0,male,51.0,0,61.3792,C
1,1,male,21.0,0,61.3792,C
1,0,male,,0,35.0,S
1,1,female,31.0,0,134.5,C
1,1,male,,0,35.5,S
1,0,male,62.0,0,26.55,S
1,1,female,36.0,0,135.6333,C
2,0,male,30.0,1,24.0,C
2,1,female,28.0,1,24.0,C
2,0,male,30.0,0,13.0,S
2,0,male,18.0,0,11.5,S
2,0,male,25.0,0,10.5,S
2,0,male,34.0,1,26.0,S
2,1,female,36.0,1,26.0,S
2,0,male,57.0,0,13.0,S
2,0,male,18.0,0,11.5,S
2,0,male,23.0,0,10.5,S
2,1,female,36.0,0,13.0,S
2,0,male,28.0,0,10.5,S
2,0,male,51.0,0,12.525,S
2,1,male,32.0,1,26.0,S
2,1,female,19.0,1,26.0,S
2,0,male,28.0,0,26.0,S
2,1,male,1.0,2,39.0,S
2,1,female,4.0,2,39.0,S
2,1,female,12.0,2,39.0,S
2,1,female,36.0,0,39.0,S
2,1,male,34.0,0,13.0,S
2,1,female,19.0,0,13.0,S
2,0,male,23.0,0,13.0,S
2,0,male,26.0,0,13.0,S
2,0,male,42.0,0,13.0,S
2,0,male,27.0,0,13.0,S
2,1,female,24.0,0,13.0,S
2,1,female,15.0,0,39.0,S
2,0,male,60.0,1,39.0,S
2,1,female,40.0,1,39.0,S
2,1,female,20.0,1,26.0,S
2,0,male,25.0,1,26.0,S
2,1,female,36.0,0,13.0,S
2,0,male,25.0,0,13.0,S
2,0,male,42.0,0,13.0,S
2,1,female,42.0,0,13.0,S
2,1,male,0.83,0,29.0,S
2,1,male,26.0,1,29.0,S
2,1,female,22.0,1,29.0,S
2,1,female,35.0,0,21.0,S
2,0,male,,0,0.0,S
2,0,male,19.0,0,13.0,S
2,0,female,44.0,1,26.0,S
2,0,male,54.0,1,26.0,S
2,0,male,52.0,0,13.5,S
2,0,male,37.0,1,26.0,S
2,0,female,29.0,1,26.0,S
2,1,female,25.0,1,30.0,S
2,1,female,45.0,0,30.0,S
2,0,male,29.0,1,26.0,S
2,1,female,28.0,1,26.0,S
2,0,male,29.0,0,10.5,S
2,0,male,28.0,0,13.0,S
2,1,male,24.0,0,10.5,S
2,1,female,8.0,0,26.25,S
2,0,male,31.0,1,26.25,S
2,1,female,31.0,1,26.25,S
2,1,female,22.0,0,10.5,S
2,0,female,30.0,0,13.0,S
2,0,female,,0,21.0,S
2,0,male,21.0,0,11.5,S
2,0,male,,0,0.0,S
2,1,male,8.0,1,36.75,S
2,0,male,18.0,0,73.5,S
2,1,female,48.0,0,36.75,S
2,1,female,28.0,0,13.0,S
2,0,male,32.0,0,13.0,S
2,0,male,17.0,0,73.5,S
2,0,male,29.0,1,27.7208,C
2,1,female,24.0,1,27.7208,C
2,0,male,25.0,0,31.5,S
2,0,male,18.0,0,73.5,S
2,1,female,18.0,0,23.0,S
2,1,female,34.0,0,23.0,S
2,0,male,54.0,0,26.0,S
2,1,male,8.0,0,32.5,S
2,0,male,42.0,1,32.5,S
2,1,female,34.0,1,32.5,S
2,1,female,27.0,1,13.8583,C
2,1,female,30.0,1,13.8583,C
2,0,male,23.0,0,13.0,S
2,0,male,21.0,0,13.0,S
2,0,male,18.0,0,13.0,S
2,0,male,40.0,1,26.0,S
2,1,female,29.0,1,26.0,S
2,0,male,18.0,0,10.5,S
2,0,male,36.0,0,13.0,S
2,0,male,,0,0.0,S
2,0,female,38.0,0,13.0,S
2,0,male,35.0,0,26.0,S
2,0,male,38.0,1,21.0,S
2,0,male,34.0,1,21.0,S
2,1,female,34.0,0,13.0,S
2,0,male,16.0,0,26.0,S
2,0,male,26.0,0,10.5,S
2,0,male,47.0,0,10.5,S
2,0,male,21.0,1,11.5,S
2,0,male,21.0,1,11.5,S
2,0,male,24.0,0,13.5,S
2,0,male,24.0,0,13.0,S
2,0,male,34.0,0,13.0,S
2,0,male,30.0,0,13.0,S
2,0,male,52.0,0,13.0,S
2,0,male,30.0,0,13.0,S
2,1,male,0.67,1,14.5,S
2,1,female,24.0,0,14.5,S
2,0,male,44.0,0,13.0,S
2,1,female,6.0,0,33.0,S
2,0,male,28.0,0,33.0,S
2,1,male,62.0,0,10.5,S
2,0,male,30.0,0,10.5,S
2,1,female,7.0,0,26.25,S
2,0,male,43.0,1,26.25,S
2,1,female,45.0,1,26.25,S
2,1,female,24.0,1,65.0,S
2,1,female,24.0,1,65.0,S
2,0,male,49.0,1,65.0,S
2,1,female,48.0,1,65.0,S
2,1,female,55.0,0,16.0,S
2,0,male,24.0,2,73.5,S
2,0,male,32.0,2,73.5,S
2,0,male,21.0,2,73.5,S
2,0,female,18.0,1,13.0,S
2,1,female,20.0,2,23.0,S
2,0,male,23.0,2,11.5,S
2,0,male,36.0,0,13.0,S
2,1,female,54.0,1,23.0,S
2,0,male,50.0,0,13.0,S
2,0,male,44.0,1,26.0,S
2,1,female,29.0,1,26.0,S
2,0,male,21.0,0,73.5,S
2,1,male,42.0,0,13.0,S
2,0,male,63.0,1,26.0,S
2,0,female,60.0,1,26.0,S
2,0,male,33.0,0,12.275,S
2,1,female,17.0,0,10.5,S
2,0,male,42.0,1,27.0,S
2,1,female,24.0,2,27.0,S
2,0,male,47.0,0,15.0,S
2,0,male,24.0,2,31.5,S
2,0,male,22.0,2,31.5,S
2,0,male,32.0,0,10.5,S
2,1,female,23.0,0,13.7917,C
2,0,male,34.0,1,26.0,S
2,1,female,24.0,1,26.0,S
2,0,female,22.0,0,21.0,S
2,1,female,,0,12.35,Q
2,0,male,35.0,0,12.35,Q
2,1,female,45.0,0,13.5,S
2,0,male,57.0,0,12.35,Q
2,0,male,,0,0.0,S
2,0,male,31.0,0,10.5,S
2,0,female,26.0,1,26.0,S
2,0,male,30.0,1,26.0,S
2,0,male,,0,10.7083,Q
2,1,female,1.0,1,41.5792,C
2,1,female,3.0,1,41.5792,C
2,0,male,25.0,1,41.5792,C
2,1,female,22.0,1,41.5792,C
2,1,female,17.0,0,12.0,C
2,1,female,,0,33.0,S
2,1,female,34.0,0,10.5,S
2,0,male,36.0,0,12.875,C
2,0,male,24.0,0,10.5,S
2,0,male,61.0,0,12.35,Q
2,0,male,50.0,1,26.0,S
2,1,female,42.0,1,26.0,S
2,0,female,57.0,0,10.5,S
2,0,male,,0,15.0458,C
2,1,male,1.0,0,37.0042,C
2,0,male,31.0,1,37.0042,C
2,1,female,24.0,1,37.0042,C
2,0,male,,0,15.5792,C
2,0,male,30.0,0,13.0,S
2,0,male,40.0,0,16.0,S
2,0,male,32.0,0,13.5,S
2,0,male,30.0,0,13.0,S
2,0,male,46.0,0,26.0,S
2,1,female,13.0,0,19.5,S
2,1,female,41.0,0,19.5,S
2,1,male,19.0,0,10.5,S
2,0,male,39.0,0,13.0,S
2,0,male,48.0,0,13.0,S
2,0,male,70.0,0,10.5,S
2,0,male,27.0,0,13.0,S
2,0,male,54.0,0,14.0,S
2,0,male,39.0,0,26.0,S
2,0,male,16.0,0,10.5,S
2,0,male,62.0,0,9.6875,Q
2,0,male,32.5,1,30.0708,C
2,1,female,14.0,1,30.0708,C
2,1,male,2.0,1,26.0,S
2,1,male,3.0,1,26.0,S
2,0,male,36.5,0,26.0,S
2,0,male,26.0,0,13.0,S
2,0,male,19.0,1,36.75,S
2,0,male,28.0,0,13.5,S
2,1,male,20.0,0,13.8625,C
2,1,female,29.0,0,10.5,S
2,0,male,39.0,0,13.0,S
2,1,male,22.0,0,10.5,S
2,1,male,,0,13.8625,C
2,0,male,23.0,0,10.5,S
2,1,male,29.0,0,13.8583,C
2,0,male,28.0,0,10.5,S
2,0,male,,0,0.0,S
2,1,female,50.0,0,26.0,S
2,0,male,19.0,0,10.5,S
2,0,male,,0,15.05,C
2,0,male,41.0,0,13.0,S
2,1,female,21.0,0,21.0,S
2,1,female,19.0,0,26.0,S
2,0,male,43.0,0,21.0,S
2,1,female,32.0,0,13.0,S
2,0,male,34.0,0,13.0,S
2,1,male,30.0,0,12.7375,C
2,0,male,27.0,0,15.0333,C
2,1,female,2.0,1,26.0,S
2,1,female,8.0,1,26.0,S
2,1,female,33.0,0,26.0,S
2,0,male,36.0,0,10.5,S
2,0,male,34.0,1,21.0,S
2,1,female,30.0,3,21.0,S
2,1,female,28.0,0,13.0,S
2,0,male,23.0,0,15.0458,C
2,1,male,0.83,1,18.75,S
2,1,male,3.0,1,18.75,S
2,1,female,24.0,2,18.75,S
2,1,female,50.0,0,10.5,S
2,0,male,19.0,0,10.5,S
2,1,female,21.0,0,10.5,S
2,0,male,26.0,0,13.0,S
2,0,male,25.0,0,13.0,S
2,0,male,27.0,0,26.0,S
2,1,female,25.0,0,26.0,S
2,1,female,18.0,0,13.0,S
2,1,female,20.0,0,36.75,S
2,1,female,30.0,0,13.0,S
2,0,male,59.0,0,13.5,S
2,1,female,30.0,0,12.35,Q
2,0,male,35.0,0,10.5,S
2,1,female,40.0,0,13.0,S
2,0,male,25.0,0,13.0,S
2,0,male,41.0,0,15.0458,C
2,0,male,25.0,0,10.5,S
2,0,male,18.5,0,13.0,S
2,0,male,14.0,0,65.0,S
2,1,female,50.0,0,10.5,S
2,0,male,23.0,0,13.0,S
2,1,female,28.0,0,12.65,S
2,1,female,27.0,0,10.5,S
2,0,male,29.0,1,21.0,S
2,0,female,27.0,1,21.0,S
2,0,male,40.0,0,13.0,S
2,1,female,31.0,0,21.0,S
2,0,male,30.0,1,21.0,S
2,0,male,23.0,1,10.5,S
2,1,female,31.0,0,21.0,S
2,0,male,,0,0.0,S
2,1,female,12.0,0,15.75,S
2,1,female,40.0,0,15.75,S
2,1,female,32.5,0,13.0,S
2,0,male,27.0,1,26.0,S
2,1,female,29.0,1,26.0,S
2,1,male,2.0,1,23.0,S
2,1,female,4.0,1,23.0,S
2,1,female,29.0,0,23.0,S
2,1,female,0.92,1,27.75,S
2,1,female,5.0,1,27.75,S
2,0,male,36.0,1,27.75,S
2,1,female,33.0,1,27.75,S
2,0,male,66.0,0,10.5,S
2,0,male,,0,12.875,S
2,1,male,31.0,0,13.0,S
2,1,male,,0,13.0,S
2,1,female,26.0,0,13.5,S
2,0,female,24.0,0,13.0,S
3,0,male,42.0,0,7.55,S
3,0,male,13.0,0,20.25,S
3,0,male,16.0,1,20.25,S
3,1,female,35.0,1,20.25,S
3,1,female,16.0,0,7.65,S
3,1,male,25.0,0,7.65,S
3,1,male,20.0,0,7.925,S
3,1,female,18.0,0,7.2292,C
3,0,male,30.0,0,7.25,S
3,0,male,26.0,0,8.05,S
3,0,female,40.0,1,9.475,S
3,1,male,0.83,0,9.35,S
3,1,female,18.0,0,9.35,S
3,1,male,26.0,0,18.7875,C
3,0,male,26.0,0,7.8875,S
3,0,male,20.0,0,7.925,S
3,0,male,24.0,0,7.05,S
3,0,male,25.0,0,7.05,S
3,0,male,35.0,0,8.05,S
3,0,male,18.0,0,8.3,S
3,0,male,32.0,0,22.525,S
3,1,female,19.0,1,7.8542,S
3,0,male,4.0,4,31.275,S
3,0,female,6.0,4,31.275,S
3,0,female,2.0,4,31.275,S
3,1,female,17.0,4,7.925,S
3,0,female,38.0,4,7.775,S
3,0,female,9.0,4,31.275,S
3,0,female,11.0,4,31.275,S
3,0,male,39.0,1,31.275,S
3,1,male,27.0,0,7.7958,S
3,0,male,26.0,0,7.775,S
3,0,female,39.0,1,31.275,S
3,0,male,20.0,0,7.8542,S
3,0,male,26.0,0,7.8958,S
3,0,male,25.0,1,17.8,S
3,0,female,18.0,1,17.8,S
3,0,male,24.0,0,7.775,S
3,0,male,35.0,0,7.05,S
3,0,male,5.0,4,31.3875,S
